name,affiliation
Alonso Paez-Ramirez,BRITISH TELECOMMUNICATIONS PLC
Alp Dibirdi,ALCATEL-LUCENT S.A
Alper Kerman,U.S. DEPARTMENT OF COMMERCE
Alpesh Patel,CISCO SYSTEMS INC
Alton Lo,CISCO SYSTEMS INC
Altug Simsek,ARGELA TECHNOLOGIES
Alun Evans,CISCO SYSTEMS INC
Alvaro Cardenas,FUJITSU LIMITED
Alvin Chubbs,CONVEDIA
Amal Maalouf,CISCO SYSTEMS INC
Aman Kapoor,JUNIPER NETWORKS
Amanda Tisdall,ALCATEL-LUCENT S.A
Amanda Walker,INTER CON SYSTEMS CORPORATION
Amanpreet Singh Anand,BLACKBERRY LIMITED
Amar Andersson,TELIA AB
Amar Rao,NETWORK SOLUTIONS INC.
Amardeep Sibia,GOLDMAN SACHS
Amardeo Sarma,NEC CORPORATION
Ambarish Malpani,CENZIC INC
Ambiga Subramanian,MOTOROLA MOBILITY
Ambrose Kwong,UNISPHERE NETWORKS
Ambrose Magee,RIPE NCC
Amelia Carlson,IBM
Amer Tufail,PTCL
Amir Birjandi,JUNIPER NETWORKS
Amir Cohen,COMPASS-EOS
Amir Halperin,ORCKIT
Amit Gupta,UNIVERSITY OF CALIFORNIA - BERKELEY
Amit Jain,CISCO SYSTEMS INC
Amit Jardosh,UNIVERSITY OF CALIFORNIA - SANTA BARBARA
Amit Kulkarni,GENERAL ELECTRIC
Amit Meyuhas,SIEMENS AG
Amit Nandi,NORTEL NETWORKS LIMITED
Amit Patel,CISCO SYSTEMS INC
Amit Sharma,ORACLE
Amitav Das,QUALCOMM INC
Amlan Saha,SIEMENS AG
Ammad Akram,PANASONIC CORPORATION
Amol Khare,CISCO SYSTEMS INC
Amol Kulkarni,INTEL CORPORATION
Amol Mitra,HEWLETT-PACKARD COMPANY
Amor Benali,MOTOROLA MOBILITY
Amorn Buasri,LOPBURI CENTRAL PRISON
Amy Buchanan,BAY NETWORKS
Amy Friedlander,SHINKURO
Amy Hughes,UNIVERSITY OF SOUTHERN CALIFORNIA
Amy Lozano,DELPHI INTERNET SERVICES CORP.
Amy Pearl,"SUN MICROSYSTEMS, INC."
Amy Pendleton,NORTEL NETWORKS LIMITED
Amy Tracy Wells,INTERNET SCOUT
Amy Tu,DELTA NETWORKS
Amy Wang,AVICI SYSTEMS
Amy Weaver,NETWORK APPLIANCE
An Kyu Hwang,CHUNGNAM NATIONAL UNIVERSITY
Ana Carolina Minaburo,ENST BRETAGNE
Anand Gorti,IBM
Anand Kanagala,LUCENT TECHNOLOGIES
Anand Singh,CISCO SYSTEMS INC
Anand Subramaniam,"NOVELL, INC."
Ananda Sen Gupta,ALUMNUS SOFTWARE
Ananda Sengupta,OSI
Anant Kumar,TRILLIUM DIGITAL SYSTEMS
Anastase Nakassis,U.S. DEPARTMENT OF COMMERCE
Anatoli Levine,RADVISION
Anatoly Pinchuk,BLUEARC
Anay Panvalkar,"SUN MICROSYSTEMS, INC."
Anders Askerup,HEWLETT-PACKARD COMPANY
Anders Bergsten,TELIA AB
Anders Djupfeldt,TELIA AB
Anders Eriksson,SWITCHCORE CORPORATION
Anders Hagman,TELIA AB
Anders Hoeglund,ERICSSON AB
Anders Klemets,MICROSOFT
Anders Kristensen,HEWLETT-PACKARD COMPANY
Anders Larsson,TELIA AB
Anders Lowinger,CISCO SYSTEMS INC
Anders Lund,UNINETT
Anders Roos,TELIA AB
Andjelko Zigman,CARNET
Andras Korn,BME-TMIT
Andras Valko,ERICSSON AB
Andras Veres,ERICSSON AB
Andre Beck,LUCENT TECHNOLOGIES
Andre Doles,INTERNET MCI
Andre Franke,LANCOM SYSTEMS GMBH
Andre Leong,JUNIPER NETWORKS
Andre Mintz,DIGEX
Andre Scedrov,UNIVERSITY OF PENNSYLVANIA
Andre Van Der Merwe,INTERNET SOLUTIONS
Andre Zehl,DEUTSCHE TELEKOM AG
Andrea Basso,NMS COMMUNICATIONS
Andrea Chierici,"INFN, NATIONAL INSTITUTE FOR NUCLEAR PHYSICS, ITALY"
Andrea Colegrove,SPARTA INC.
Andrea Di Giglio,TELECOM ITALIA S.P.A
Andrea Francini,LUCENT TECHNOLOGIES
Andrea Heyda,CISCO SYSTEMS INC
Andrea Vitali,STMICROELECTRONICS N.V.
Andrea Westerinen,CISCO SYSTEMS INC
Andreas Baess,DENIC E.G
Andreas Dworsky,UNIVERSITY OF COLOGNE
Andreas Gross,UNIVERSITAET KARLSRUHE
Andreas Gustke,SIEMENS AG
Andreas Haggander,TELIA AB
Andreas Johansson,LULEA UNIVERSITY OF TECHNOLOGY
Andreas Johnsson,ERICSSON AB
Andreas Kleinschmidt,UNIVERSITY COLLEGE LONDON
Andreas Koppenhoefer,UNIVERSITY OF STUTTGART
Andreas Lehbrink,VERSATEL WEST GMBH
Andreas Lindenthal,SIEMENS AG
Andreas Mattsson,TELIA AB
Andreas Pashalidis,SIEMENS AG
Andreas Pauli,HAMBURG UNIVERSITY
Andreas Schachtner,INTRANET GMBH
Andreas Siegert,IBM
Andreas Terzis,JHU COMPUTER SCIENCE DEPARTMENT
Andreea Timberlake,ERICSSON AB
Andrei Gasheyev,COMCAST
Andrei Gurtov,AALTO UNIVERSITY
Andrei Pelinescu-Onciul,IPTELORG
Andrei Radulescu-Banu,PICTURETEL CORP
Andres Gasson,CISCO SYSTEMS INC
Andres Krom,TELESEMANA.COM
Andres Piazza,LACTLD
Andres Pugawko,CABASE
Andres Vidoz,IPLAN
Andrew,CISCO SYSTEMS INC
Andrew Barrington,MARCONI COMMUNICATIONS
Andrew Benhase,CISCO SYSTEMS INC
Andrew Bressen,THE LEFT BANK OPERATION
Andrew Busey,"SPYGLASS, INC"
Andrew Campbell,COLUMBIA UNIVERSITY
Andrew Cherenson,SILICON GRAPHICS
Andrew Chernov,RELCOM
Andrew Cohen,IO RESEARCH
Andrew Csinger,FUSIONPIPE
Andrew Daviel,TRIUMF
Andrew Debruyne,MICROSOFT
Andrew Donoho,IBM
Andrew Drapp,HITACHI LTD
Andrew Dul,BOEING
Andrew Ellis,MASSACHUSETTS INSTITUTE OF TECHNOLOGY
Andrew Fisher,NEWHEIGHTS SOFTWARE CORP
Andrew Fuller,VOXPILOT
Andrew Funk,RADFLY
Andrew Gasson,CISCO SYSTEMS INC
Andrew Gollan,"SUN MICROSYSTEMS, INC."
Andrew Goss,CESG
Andrew Hally,WHITE PINE SOFTWARE
Andrew Hebb,ASCEND COMMUNICATIONS
Andrew Herron,UNIVERSITY OF WASHINGTON
Andrew Hollbach,NORTEL NETWORKS LIMITED
Andrew Hull,MOTOROLA MOBILITY
Andrew Jensen,ASCEND COMMUNICATIONS
Andrew Krywaniuk,ALCATEL
Andrew Lehtola,ASCEND COMMUNICATIONS
Andrew Leung,SONY CORPORATION
Andrew Lochbaum,"POLYCOM, INC."
Andrew Malcolm,SCO
Andrew Mccown,MITSUBISHI CORPORATION
Andrew Mcdonald,SIEMENS AG
Andrew Mcfarland,SPRINT CORPORATION
Andrew Mclaughlin,ICANN
Andrew Milne,CERTICOM CORPORATION
Andrew Mutz,HEWLETT-PACKARD COMPANY
Andrew Myles,MACQUARIE UNIVERSITY
Andrew Namboka,NOKIA
Andrew Nganga,STOCKHOLM UNIVERSITY
Andrew Nicolle,MOTOROLA MOBILITY
Andrew Nourse,CISCO SYSTEMS INC
Andrew Palka,DIGITAL EQUIPMENT
Andrew Pearson,SNMP RESEARCH INC.
Andrew Randle,NEC CORPORATION
Andrew Robinson,NMI
Andrew Salop,ADOBE SYSTEMS
Andrew Schmidt,AMERITECH
Andrew Scott,HEWLETT-PACKARD COMPANY
